id,score_date,segment_smb,segment_non_smb,segment_commercial,segment_enterprise,segment_midmarket,region_emea,region_apac,region_latam,region_amer,customer_age_quarters,sales_assisted,legacy_flag,product_counts,billing_dunning_not_ok,crm_industry_current,crm_employee_range,crm_success_owner_change,csat_score,csat_response_rate,nps_score,nps_score_all_time,avg_nps_rating,avg_nps_rating_all_time,outreach_call_90dayflag,num_low_sev_outages,num_high_sev_outages,has_high_sev_outage,months_since_high_sev_outage,num_tickets_deflected,max_tickets_per_agent,current_arr,future_arr,arr_change,fx_impact,seat_change_arr,product_change_arr,discount_arr_usd,team_plus,pro_plus,ent_plus,discount_arr_usd_percentage,product_counts_percentage,total_pool_max_agents,max_seats,agent_utilization,is_provisioned_any_channel_M_before,max_seats_M_before,agent_utilization_increase,agent_utilization_decrease,seat_utilization,seat_utilization_M_before,seat_utilization_increase,seat_utilization_decrease,upsell_flag
JMAN_10059360,2023-02-03,0,1,0,0,0,1,0,0,0,10,1,0,1,0,Corporate Services,Oct-49,0,100,43,,-100.0,,5.0,1,8,0,0,3.0,2,1,7792.56,9929.4,1921.8,215.04,1921.71,0.0,0.0,1,1,1,100,100,0,4.0,0.0,4.0,4.0,0,1,1.0,1.0,0,0,1
JMAN_10069485,2023-03-03,1,0,0,0,0,0,0,0,1,15,1,0,3,0,Manufacturing & Resources,50 - 99,0,0,0,,,,,0,11,0,0,2.0,0,47,3528.0,3528.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,5.0,0.0,5.0,5.0,0,1,1.0,1.0,0,0,1
JMAN_10177857,2023-02-03,1,0,0,0,0,1,0,0,0,10,1,0,1,0,Consumer Services,50 - 99,0,100,40,0.0,0.0,7.0,7.0,0,9,1,1,0.0,0,1048,31572.84,32184.48,0.0,611.64,0.0,0.0,0.0,1,1,1,100,100,0,17.0,0.375,17.0,17.0,0,1,0.941176471,1.0,0,1,1
JMAN_10410810,2023-03-10,0,1,1,0,0,0,0,0,1,9,1,0,1,0,Corporate Services,250 - 499,0,0,0,,0.0,,7.0,1,10,0,0,2.0,53,20,45360.0,45360.0,0.0,0.0,0.0,0.0,0.0,1,1,1,100,100,0,30.0,0.0,8.0,21.0,0,1,0.266666667,0.380952381,0,1,1
JMAN_10429945,2023-02-17,0,1,1,0,0,0,1,0,0,6,1,0,1,0,Financial Services,250 - 499,0,100,14,,,,,0,8,0,0,11.0,4,940,182250.0,346500.0,164250.0,0.0,81774.31591,0.0,-42000.0,1,1,0,100,100,0,220.0,0.204545455,219.0,220.0,0,1,1.0,0.995454545,1,0,1
JMAN_10429945,2023-03-03,0,1,1,0,0,0,1,0,0,6,1,0,1,0,Financial Services,250 - 499,1,100,16,,,,,0,6,0,0,12.0,2,807,192000.0,346500.0,154500.0,0.0,73850.40287,0.0,-42000.0,1,1,0,100,100,0,230.0,0.239130435,220.0,220.0,0,1,1.0,1.0,0,0,1
JMAN_10442134,2023-03-31,0,1,0,1,0,0,0,0,1,8,1,0,1,0,Non-Profits & Associations,5000+,0,100,17,,,,,0,11,0,0,6.0,9,321,30507.84,30507.84,0.0,0.0,0.0,0.0,-693.36,1,1,0,90,100,0,22.0,0.1,20.0,22.0,0,1,0.909090909,0.909090909,0,0,1
JMAN_10473228,2023-01-20,1,0,0,0,0,0,0,0,1,8,1,0,1,0,Healthcare,100 - 249,0,100,19,,-100.0,,5.0,0,7,0,0,4.0,0,80,53608.44,66676.44,13068.0,0.0,12589.68969,0.0,-2227.56,1,1,0,100,100,0,46.0,0.022222222,45.0,46.0,0,1,0.97826087,0.97826087,0,0,1
JMAN_10473228,2023-01-27,1,0,0,0,0,0,0,0,1,9,1,0,1,0,Healthcare,100 - 249,0,100,19,,-100.0,,5.0,0,6,0,0,4.0,3,139,54796.44,66676.44,11880.0,0.0,11449.08458,0.0,-2227.56,1,1,0,100,100,0,47.0,0.0,45.0,46.0,0,1,0.978723404,0.97826087,1,0,1
JMAN_10473228,2023-03-24,1,0,0,0,0,0,0,0,1,9,1,0,1,0,Healthcare,100 - 249,0,100,19,,-100.0,,5.0,0,11,0,0,6.0,82,48,57172.44,66676.44,9504.0,0.0,9165.899582,0.0,-2227.56,1,1,0,100,100,0,48.0,0.043478261,47.0,48.0,0,1,0.958333333,0.979166667,0,1,1
JMAN_10473228,2023-03-31,1,0,0,0,0,0,0,0,1,9,1,0,1,0,Healthcare,100 - 249,0,100,19,,-100.0,,5.0,0,11,0,0,6.0,4,78,58360.44,66676.44,8316.0,0.0,8022.450782,0.0,-2227.56,1,1,0,100,100,0,50.0,0.020833333,47.0,48.0,0,1,0.96,0.979166667,0,1,1
JMAN_10487794,2023-02-03,0,1,0,0,0,1,0,0,0,9,1,0,2,1,Technology,Oct-49,0,0,0,,,,,0,8,0,0,3.0,0,166,59742.96,60900.24,0.0,1157.28,0.0,0.0,0.0,1,1,1,100,100,0,18.0,0.166666667,18.0,18.0,0,1,1.0,1.0,0,0,1
JMAN_10535735,2023-02-10,1,0,0,0,0,0,0,1,0,8,1,0,1,0,"Retail, Wholesale & Distribution",50 - 99,0,0,0,,0.0,,8.0,0,11,0,0,7.0,2,508,22500.0,22500.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,100,0,15.0,0.5,12.0,15.0,0,1,0.8,0.8,0,0,1
JMAN_10583513,2023-02-10,0,1,1,0,0,0,1,0,0,8,1,0,2,0,Corporate Services,250 - 499,0,83,42,-33.3,-33.3,3.0,3.0,0,1,0,0,2.0,28,4372,203700.48,201960.0,-1740.48,0.0,41580.0,-48000.0,-4679.52,1,1,0,100,100,0,135.0,0.307692308,130.0,130.0,0,1,0.962962963,1.0,0,1,1
JMAN_10583513,2023-03-17,0,1,1,0,0,0,1,0,0,8,1,0,2,0,Corporate Services,250 - 499,0,82,43,-100.0,-33.3,0.0,3.0,0,5,0,0,3.0,12,3731,221520.48,207900.0,-13620.48,0.0,29700.0,-48000.0,-4679.52,1,1,0,100,100,0,135.0,0.362962963,129.0,135.0,0,1,1.0,0.955555556,1,0,1
JMAN_10583513,2023-03-31,0,1,1,0,0,0,1,0,0,8,1,0,2,0,Corporate Services,250 - 499,0,82,42,-100.0,-33.3,0.0,3.0,0,2,0,0,3.0,8,3416,233400.48,207900.0,-25500.48,0.0,17820.0,-48000.0,-4679.52,1,1,0,100,100,0,150.0,0.32,134.0,135.0,0,1,1.0,0.992592593,1,0,1
JMAN_10670367,2023-02-17,0,1,0,0,0,0,0,0,1,8,1,0,1,0,"Retail, Wholesale & Distribution",Oct-49,0,100,27,,0.0,,8.0,0,0,0,0,16.0,332,161,32400.0,46124.76,13724.76,0.0,14400.0,0.0,0.0,1,1,1,100,100,0,18.0,0.333333333,12.0,12.0,0,1,0.666666667,1.0,0,1,1
JMAN_10670367,2023-02-24,0,1,0,0,0,0,0,0,1,8,1,0,1,0,"Retail, Wholesale & Distribution",Oct-49,0,100,11,,0.0,,8.0,0,0,0,0,16.0,401,178,34200.0,46124.76,11924.76,0.0,12600.0,0.0,0.0,1,1,1,100,100,0,18.0,0.235294118,12.0,12.0,0,1,0.944444444,1.0,0,1,1
JMAN_10670367,2023-03-31,0,1,0,0,0,0,0,0,1,8,1,0,1,0,"Retail, Wholesale & Distribution",Oct-49,0,100,11,,0.0,,8.0,0,0,0,0,17.0,355,253,36000.0,46124.76,10124.76,0.0,10800.0,0.0,0.0,1,1,1,100,100,0,19.0,0.105263158,18.0,19.0,0,1,1.0,0.947368421,1,0,1
JMAN_10744386,2023-02-03,1,0,0,0,0,1,0,0,0,8,1,0,1,0,Financial Services,100 - 249,0,0,0,,,,,0,9,1,1,0.0,20,67,900.0,917.52,0.0,17.52,0.0,0.0,0.0,1,1,0,100,100,0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,0,0,1
JMAN_10929230,2023-03-24,0,1,0,0,0,1,0,0,0,7,0,0,1,0,Technology,01-Sep,0,0,0,,,,,0,10,0,0,1.0,0,8,7128.0,8280.0,1152.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,6.0,0.0,5.0,5.0,0,1,1.0,1.0,0,0,1
JMAN_109835,2023-03-31,0,1,0,0,1,1,0,0,0,45,1,0,1,0,Technology,1000 - 4999,0,100,38,,,,,0,0,0,0,15.0,6,148,50400.0,50400.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,100,0,28.0,0.148148148,27.0,28.0,0,1,0.964285714,0.964285714,0,0,1
JMAN_11055836,2023-02-03,1,0,0,0,0,1,0,0,0,7,1,0,1,0,Technology,100 - 249,0,100,50,,,,,0,9,1,1,0.0,81,62,10800.48,13762.08,2665.68,295.92,2665.738462,0.0,0.0,1,1,0,100,100,0,12.0,0.083333333,12.0,12.0,0,1,1.0,1.0,0,0,1
JMAN_11055836,2023-02-24,1,0,0,0,0,1,0,0,0,7,1,0,1,0,Technology,100 - 249,0,100,50,,,,,0,15,1,1,0.0,90,57,11700.48,13762.08,1765.68,295.92,1765.698462,0.0,0.0,1,1,0,100,100,0,12.0,0.0,12.0,12.0,0,1,1.0,1.0,0,0,1
JMAN_11055836,2023-03-17,1,0,0,0,0,1,0,0,0,7,1,0,1,0,Technology,100 - 249,0,100,33,,,,,0,14,0,0,1.0,126,65,13242.72,13564.56,0.0,321.84,0.0,0.0,0.0,1,1,0,100,100,0,15.0,0.076923077,12.0,12.0,0,1,0.866666667,1.0,0,1,1
JMAN_11096413,2023-02-03,0,1,0,0,0,1,0,0,0,6,0,0,1,0,Technology,Oct-49,0,100,33,,,,,0,9,1,1,0.0,0,6,1285.8,1310.64,0.0,24.84,0.0,0.0,0.0,1,1,0,100,100,0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,0,0,1
JMAN_11200796,2023-02-03,0,1,0,0,1,1,0,0,0,14,1,0,1,0,Transportation,Oct-49,0,0,0,,,,,0,9,1,1,0.0,0,18,5836.68,6094.92,0.0,336.72,0.0,0.0,0.0,1,1,0,100,100,0,5.0,0.4,5.0,5.0,0,1,1.0,1.0,0,0,1
JMAN_11350389,2023-02-03,0,1,0,1,0,1,0,0,0,11,1,0,1,0,Technology,100 - 249,0,100,40,0.0,-50.0,8.0,5.5,0,9,1,1,0.0,12,29,3078.12,3137.64,0.0,68.04,0.0,0.0,0.0,1,1,0,100,100,0,3.0,0.0,3.0,3.0,0,1,1.0,1.0,0,0,1
JMAN_11352880,2023-03-31,0,1,1,0,0,0,0,0,1,6,1,0,2,0,Transportation,Oct-49,0,100,25,,,,,0,0,0,0,17.0,67,302,35856.0,45684.0,9828.0,0.0,4176.0,0.0,0.0,1,1,1,100,100,0,12.0,0.636363636,11.0,12.0,0,1,0.916666667,0.916666667,0,0,1
JMAN_11604060,2023-02-03,0,1,0,0,0,1,0,0,0,5,0,0,1,0,Manufacturing & Resources,01-Sep,0,0,0,,,,,0,9,1,1,0.0,0,0,1152.6,1203.6,0.0,51.0,0.0,0.0,0.0,1,0,0,100,100,0,2.0,0.0,1.0,2.0,0,0,0.5,0.5,0,0,1
JMAN_11678347,2023-03-10,0,1,0,0,0,0,0,1,0,5,1,0,1,0,Technology,Oct-49,0,0,0,,,,,0,10,0,0,2.0,0,9,2844.0,2844.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,2.0,0.0,2.0,2.0,0,0,1.0,1.0,0,0,1
JMAN_11879688,2023-02-03,0,1,0,0,0,1,0,0,0,4,0,0,1,0,Technology,01-Sep,0,0,0,,,,,0,9,1,1,0.0,0,0,766.32,781.08,0.0,14.76,0.0,0.0,0.0,1,0,0,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0,1
JMAN_12085153,2023-02-03,0,1,1,0,0,1,0,0,0,4,0,0,1,0,Corporate Services,250 - 499,0,0,25,,,,,0,9,1,1,0.0,0,116,5836.68,7637.88,1516.2,285.0,0.0,0.0,0.0,1,1,0,100,100,0,5.0,0.666666667,3.0,5.0,0,1,0.6,0.6,0,0,1
JMAN_12250851,2023-02-03,0,1,0,0,0,1,0,0,0,4,0,0,1,1,Financial Services,01-Sep,0,0,0,100.0,100.0,10.0,10.0,0,0,0,0,,0,137,493.56,251.52,-246.84,4.8,-246.78,0.0,0.0,1,0,0,100,100,0,2.0,0.0,2.0,2.0,0,1,1.0,1.0,0,0,1
JMAN_12444009,2023-02-03,0,1,0,0,0,1,0,0,0,4,1,0,1,0,"Retail, Wholesale & Distribution",Oct-49,0,100,20,,,,,0,9,1,1,0.0,0,241,3488.52,3556.08,0.0,67.56,0.0,0.0,0.0,1,1,0,100,100,0,4.0,0.0,4.0,4.0,0,1,1.0,1.0,0,0,1
JMAN_12537206,2023-03-31,0,1,0,0,0,0,0,0,1,4,1,0,1,0,Consumer Services,Oct-49,0,100,8,0.0,0.0,8.0,8.0,0,0,0,0,,25,135,6636.0,12420.0,5784.0,0.0,1896.0,0.0,0.0,1,1,0,0,100,0,7.0,0.571428571,6.0,7.0,0,1,1.0,0.857142857,1,0,1
JMAN_12581551,2023-03-31,0,1,0,0,0,0,0,0,1,4,0,0,2,0,Manufacturing & Resources,01-Sep,0,0,0,,,,,0,0,0,0,,0,2,1224.0,1224.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,2.0,0.0,2.0,2.0,0,1,1.0,1.0,0,0,1
JMAN_12671513,2023-02-03,0,1,0,0,0,1,0,0,0,4,0,0,1,0,Corporate Services,01-Sep,0,0,0,-100.0,-100.0,5.0,5.0,0,0,0,0,,0,0,664.92,,-653.64,-11.28,0.0,-653.64,0.0,1,0,0,100,100,0,1.0,0.0,1.0,1.0,0,1,1.0,1.0,0,0,1
JMAN_12672269,2023-02-03,0,1,1,0,0,1,0,0,0,17,1,0,2,0,Technology,250 - 499,0,100,12,,,,,0,0,0,0,,0,166,480255.36,501503.64,0.0,41841.72,0.0,0.0,0.0,1,1,1,100,100,0,100.0,0.123076923,61.0,100.0,0,1,0.65,0.61,1,0,1
JMAN_127332,2023-02-03,0,1,1,0,0,1,0,0,0,16,1,0,1,0,Technology,500 - 999,0,100,100,,-100.0,,0.0,0,9,1,1,0.0,23,54,43885.8,45827.52,0.0,15696.84,0.0,0.0,0.0,1,1,1,100,100,0,23.0,0.142857143,21.0,23.0,0,0,0.913043478,0.913043478,0,0,1
JMAN_13010076,2023-02-03,0,1,0,1,0,0,0,1,0,17,1,0,2,0,Transportation,500 - 999,0,100,24,,,,,0,0,0,0,,0,64,36374.88,39312.96,0.0,2938.08,0.0,0.0,-3197.88,1,1,0,100,100,0,40.0,0.075,40.0,40.0,0,1,1.0,1.0,0,0,1
JMAN_13302332,2023-01-20,0,1,1,0,0,1,0,0,0,2,1,0,1,0,Media & Entertainment,250 - 499,0,100,33,,,,,1,0,0,0,,0,68,14009.4,49498.2,34725.24,763.56,35121.12,0.0,0.0,1,1,0,100,100,0,10.0,0.0,10.0,10.0,0,1,1.0,1.0,0,0,1
JMAN_13302332,2023-02-03,0,1,1,0,0,1,0,0,0,3,1,0,1,0,Media & Entertainment,250 - 499,0,100,33,,,,,1,0,0,0,,0,67,14143.44,22837.56,7677.96,1016.16,775.4302041,0.0,0.0,1,1,0,100,100,0,11.0,0.0,10.0,10.0,0,1,1.0,1.0,0,0,1
JMAN_13993883,2023-02-03,1,0,0,0,0,1,0,0,0,3,1,0,1,1,Corporate Services,100 - 249,0,0,0,100.0,100.0,10.0,10.0,0,0,0,0,,8,85,11575.8,22281.48,10257.24,448.44,5487.216,0.0,-3684.96,1,1,0,100,100,0,12.0,0.166666667,12.0,12.0,0,1,1.0,1.0,0,0,1
JMAN_14071267,2023-02-17,1,0,0,0,0,0,0,1,0,17,1,0,1,0,Manufacturing & Resources,01-Sep,0,0,0,,,,,0,0,0,0,,0,72,4266.0,4564.8,298.8,0.0,0.0,0.0,0.0,1,1,0,100,100,0,4.0,0.75,4.0,4.0,0,0,1.0,1.0,0,0,1
JMAN_14142262,2023-02-03,0,1,0,0,0,1,0,0,0,3,1,0,1,0,Technology,01-Sep,0,100,14,,,,,0,0,0,0,,49,19,4388.64,5323.44,727.68,207.12,0.0,0.0,0.0,1,1,0,100,100,0,3.0,0.333333333,3.0,3.0,1,0,1.0,1.0,0,0,1
JMAN_14331200,2023-02-03,0,1,0,0,1,1,0,0,0,17,0,0,1,0,Energy & Utilities,250 - 499,0,0,0,,,,,0,0,0,0,,0,0,1551.48,1620.12,0.0,323.52,0.0,0.0,0.0,1,0,0,100,100,0,7.0,0.0,7.0,7.0,0,0,1.0,1.0,0,0,1
JMAN_14360401,2023-02-03,1,0,0,0,0,1,0,0,0,2,1,0,1,0,"Retail, Wholesale & Distribution",100 - 249,0,100,33,,,,,0,0,0,0,,0,9,11673.36,,-11977.32,303.96,0.0,-11977.32,-2273.28,1,1,0,100,100,0,12.0,0.2,5.0,12.0,0,1,0.416666667,0.416666667,0,0,1
JMAN_15078349,2023-02-03,1,0,0,0,0,0,0,0,1,17,0,0,2,0,Technology,100 - 249,0,0,0,,,,,0,0,0,0,,0,7,441.48,450.12,0.0,529.44,0.0,0.0,0.0,1,1,0,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0,1
JMAN_15081132,2023-02-24,0,1,0,0,1,0,0,0,1,1,0,0,1,0,Manufacturing & Resources,1000 - 4999,0,100,25,,,,,1,0,0,0,,0,7,5688.0,5688.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,5.0,0.0,5.0,5.0,0,1,1.0,1.0,0,0,1
JMAN_15223638,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,1,0,Technology,01-Sep,0,0,0,,,,,0,0,0,0,,0,0,1272.84,1297.44,0.0,24.6,0.0,0.0,0.0,1,0,0,100,100,0,2.0,0.0,2.0,2.0,0,0,1.0,1.0,0,0,1
JMAN_15755482,2023-02-17,1,0,0,0,0,0,0,0,1,1,0,0,1,0,"Retail, Wholesale & Distribution",100 - 249,0,0,0,,,,,0,9,1,1,1.0,2,23,4500.0,8940.0,4440.0,0.0,3288.0,0.0,0.0,1,1,0,100,100,0,2.0,0.5,2.0,2.0,0,1,1.0,1.0,0,0,1
JMAN_15755482,2023-03-24,1,0,0,0,0,0,0,0,1,1,0,0,1,0,"Retail, Wholesale & Distribution",100 - 249,0,0,0,,,,,0,8,1,1,0.0,0,22,6000.0,8940.0,2940.0,0.0,1788.0,0.0,0.0,1,1,0,100,100,0,4.0,0.333333333,3.0,3.0,0,1,0.75,1.0,0,1,1
JMAN_17645578,2023-03-31,0,1,0,0,0,0,1,0,0,17,0,0,1,0,Technology,Oct-49,0,0,0,,,,,0,0,0,0,,0,0,1140.0,1656.0,516.0,0.0,228.0,0.0,0.0,1,0,0,100,100,0,5.0,0.0,,4.0,0,0,0.0,0.0,0,0,1
JMAN_18409542,2023-02-03,0,1,0,1,0,1,0,0,0,17,1,0,1,0,Technology,5000+,0,0,0,,,,,0,0,0,0,,0,0,7273.08,7413.96,0.0,140.88,0.0,0.0,0.0,1,1,1,100,100,0,8.0,0.0,,8.0,0,0,0.0,0.0,0,0,1
JMAN_1862669,2023-01-27,1,0,0,0,0,1,0,0,0,17,0,0,2,0,Corporate Services,Oct-49,0,0,0,,,,,0,0,0,0,19.0,0,71,2396.4,2501.64,0.0,105.24,0.0,0.0,0.0,1,0,0,100,100,0,11.0,0.0,10.0,10.0,0,0,0.909090909,1.0,0,1,1
JMAN_1862669,2023-02-03,1,0,0,0,0,1,0,0,0,17,0,0,2,0,Corporate Services,Oct-49,0,0,0,,,,,0,0,0,0,20.0,0,24,2438.16,2545.92,0.0,107.76,0.0,0.0,0.0,1,0,0,100,100,0,11.0,0.090909091,10.0,10.0,1,0,1.0,1.0,0,0,1
JMAN_2272460,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,4,0,,01-Sep,0,100,100,,,,,0,10,0,0,7.0,0,128,649.44,661.92,0.0,12.48,0.0,0.0,0.0,1,0,0,100,100,0,2.0,0.5,2.0,2.0,0,0,1.0,1.0,0,0,1
JMAN_2293551,2023-02-03,0,1,0,0,0,1,0,0,0,16,0,0,6,0,Technology,Oct-49,0,0,0,,,,,0,0,0,0,20.0,0,0,2272.8,2316.84,0.0,44.04,0.0,0.0,0.0,1,0,0,100,100,0,7.0,0.0,6.0,7.0,0,0,0.714285714,0.857142857,0,1,1
JMAN_2314120,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,5,0,Manufacturing & Resources,Oct-49,0,0,0,,,,,0,8,0,0,3.0,0,0,64.92,66.24,0.0,1.32,0.0,0.0,0.0,0,0,0,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0,1
JMAN_2319823,2023-02-03,1,0,0,0,0,1,0,0,0,17,0,0,4,0,Technology,Oct-49,0,0,0,,,,,0,8,0,0,3.0,0,26,259.8,264.84,0.0,5.04,0.0,0.0,0.0,0,0,0,100,100,0,4.0,0.25,4.0,4.0,0,0,1.0,1.0,0,0,1
JMAN_2325725,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,2,0,Technology,01-Sep,0,0,0,,100.0,,9.0,0,8,0,0,3.0,0,0,116.88,119.16,0.0,2.28,0.0,0.0,0.0,0,0,0,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0,1
JMAN_2328487,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,4,0,,01-Sep,0,0,0,,,,,0,8,0,0,3.0,0,0,324.72,330.96,0.0,6.24,0.0,0.0,0.0,0,0,0,100,100,0,5.0,0.0,5.0,5.0,0,0,1.0,1.0,0,0,1
JMAN_2331419,2023-02-03,0,1,0,0,1,1,0,0,0,17,1,0,3,0,Energy & Utilities,50 - 99,0,0,0,,,,,0,9,1,1,0.0,0,0,23572.44,30781.08,6637.44,571.2,0.0,0.0,0.0,1,1,0,100,100,0,15.0,0.0,14.0,15.0,0,1,0.933333333,0.933333333,0,0,1
JMAN_2351429,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,4,0,,01-Sep,0,0,0,,,,,0,8,0,0,3.0,0,0,64.92,66.24,0.0,1.32,0.0,0.0,0.0,0,0,0,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0,1
JMAN_2358714,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,6,0,Technology,Oct-49,0,0,0,,,,,0,0,0,0,14.0,0,0,1324.68,,-1332.11,7.43,0.0,-1299.36,0.0,1,1,0,100,100,0,3.0,0.0,3.0,3.0,0,0,1.0,1.0,0,0,1
JMAN_2371381,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,3,0,Technology,01-Sep,0,0,0,,,,,0,9,1,1,0.0,0,0,73.92,77.16,0.0,3.24,0.0,0.0,0.0,0,0,0,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0,1
JMAN_2374491,2023-02-10,1,0,0,0,0,0,0,0,1,17,1,0,6,0,Healthcare,01-Sep,0,0,0,,,,,0,11,0,0,7.0,0,15,4040.04,5228.04,1188.0,0.0,1010.01,0.0,-711.96,1,1,0,-71100,120,0,4.0,0.5,4.0,4.0,0,0,1.0,1.0,0,0,1
JMAN_2374639,2023-02-24,0,1,0,0,0,0,0,0,1,17,0,0,3,0,,Oct-49,0,0,0,,,,,0,9,0,0,7.0,0,22,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,1,0,0,100,100,0,4.0,0.0,4.0,4.0,0,1,1.0,1.0,0,0,1
JMAN_2375196,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,3,0,Technology,01-Sep,0,0,0,,,,,0,0,0,0,20.0,0,0,886.56,925.8,0.0,39.24,0.0,0.0,0.0,1,0,0,100,100,0,4.0,0.0,3.0,4.0,0,0,0.75,0.75,0,0,1
JMAN_2375471,2023-02-24,0,1,0,0,0,0,0,0,1,17,0,0,5,0,Technology,01-Sep,0,0,0,,,,,0,9,0,0,7.0,0,10,11232.0,11232.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,12.0,0.0,11.0,11.0,0,1,0.916666667,1.0,0,1,1
JMAN_2388391,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,2,0,Manufacturing & Resources,01-Sep,0,0,0,,,,,0,0,0,0,20.0,0,6,443.28,1388.64,890.64,54.72,222.6,667.92,0.0,1,0,0,100,100,0,2.0,0.0,2.0,2.0,0,0,1.0,1.0,0,0,1
JMAN_2396226,2023-02-03,0,1,0,0,0,0,0,0,1,17,0,0,5,0,"Retail, Wholesale & Distribution",01-Sep,0,0,0,,,,,0,10,0,0,7.0,0,0,116.88,119.16,0.0,2.28,0.0,0.0,0.0,0,0,0,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0,1
JMAN_2402232,2023-02-03,0,1,0,0,1,1,0,0,0,17,1,0,1,0,Financial Services,50 - 99,0,100,22,,,,,0,0,0,0,20.0,5,302,77925.6,63548.04,-15287.4,909.84,-15287.4,0.0,0.0,1,1,1,100,100,0,40.0,0.03125,29.0,40.0,0,1,0.8,0.725,1,0,1
JMAN_2405792,2023-02-03,0,1,0,0,1,1,0,0,0,18,1,0,1,0,Financial Services,1000 - 4999,0,0,0,,-100.0,,6.0,0,0,0,0,20.0,0,6,5844.48,6712.32,741.84,126.0,0.0,0.0,0.0,1,1,1,100,100,0,3.0,0.0,3.0,3.0,0,0,1.0,1.0,0,0,1
JMAN_2411898,2023-02-24,0,1,0,0,0,0,1,0,0,17,0,0,3,0,Corporate Services,Oct-49,0,0,0,,,,,0,3,0,0,2.0,0,21,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0,0,0,100,100,0,4.0,0.25,4.0,4.0,0,0,1.0,1.0,0,0,1
